,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4796,9,0,88,15,99,21,59,95,71,40,85,88,55,15,77,55,94,0,37,82
5167,37,27,10,89,45,76,3,29,38,21,96,40,86,42,2,60,3,0,67,29
5310,56,26,93,30,22,57,35,57,40,79,53,7,84,39,95,9,9,0,89,93
5311,27,49,96,52,2,62,74,88,49,38,96,12,13,37,52,93,87,0,97,1
5360,97,90,64,98,89,82,9,13,14,89,78,11,81,80,80,24,30,0,52,62
5375,30,58,4,38,13,43,16,15,60,39,72,59,95,70,57,31,76,0,38,54
5412,85,62,27,87,4,38,34,93,44,40,74,14,68,82,40,37,57,0,90,20
5440,94,33,15,46,53,18,55,37,99,72,94,46,55,12,49,21,60,0,75,17
5527,48,10,82,89,66,33,4,58,83,42,8,52,52,52,27,62,89,0,57,51
10000,35,44,45,67,7,53,22,62,19,2,86,69,31,58,40,45,74,0,51,73
10053,82,47,87,99,90,14,68,4,29,69,22,26,86,37,81,69,93,0,57,44
4750,80,49,63,56,14,9,84,4,20,49,89,14,15,85,12,82,11,1,29,10
4927,44,55,45,53,9,70,74,82,6,37,98,49,25,42,24,89,79,1,74,75
4943,73,15,43,19,99,50,5,86,14,16,79,16,30,3,17,35,8,1,89,70
5093,39,30,14,40,83,33,47,95,37,57,37,87,50,51,32,69,67,1,85,18
5202,55,81,99,13,43,99,15,14,33,37,62,89,52,40,51,69,71,1,64,23
5394,48,97,84,63,36,47,37,20,17,99,65,8,98,84,21,57,72,1,83,81
5451,44,43,15,94,46,84,88,47,65,14,54,40,24,15,73,2,33,1,33,38
5480,59,6,19,70,63,30,50,32,43,63,86,85,4,27,65,43,24,1,71,64
10019,14,50,30,65,83,90,62,89,11,81,14,4,73,5,37,13,69,1,43,69
10052,48,22,67,10,66,60,50,96,4,8,81,51,35,1,38,95,59,1,53,35
10054,76,16,80,81,10,89,39,10,3,20,32,99,70,35,93,48,40,1,87,55
4815,99,83,97,25,9,76,44,11,38,62,73,3,14,89,4,97,72,2,75,13
4843,19,61,67,73,3,5,91,56,14,73,60,23,41,21,51,74,50,2,86,35
5297,82,99,9,67,4,24,24,42,88,73,77,24,81,73,12,1,84,2,65,28
5538,10,19,35,63,78,11,37,63,7,37,87,84,16,45,97,93,87,2,8,79
10032,39,62,49,30,73,29,32,86,19,44,31,40,91,38,7,51,80,2,22,58
4808,51,82,5,86,44,21,69,22,20,35,34,64,80,14,49,95,23,3,64,64
4829,44,13,4,42,92,9,60,62,61,15,80,84,1,68,66,86,76,3,31,76
4846,12,90,48,21,33,20,13,62,64,82,40,94,85,1,84,95,54,3,49,41
4969,13,20,77,45,1,42,39,78,93,5,3,66,72,65,68,49,69,3,29,26
4983,15,94,4,97,45,52,34,83,76,95,51,84,99,1,31,14,21,3,46,13
5021,6,81,3,92,64,55,66,89,86,34,47,28,14,95,7,33,61,3,44,3
5022,40,68,92,73,68,50,68,94,51,69,16,95,44,73,11,20,60,3,60,66
5034,43,27,4,61,75,86,48,89,58,21,22,26,42,52,65,5,71,3,43,33
5178,65,69,43,21,74,28,59,10,34,71,83,61,81,83,5,46,35,3,33,69
5186,12,6,68,10,58,48,47,57,82,51,82,75,21,69,31,92,13,3,92,73
5299,59,64,13,56,36,77,24,48,49,89,62,91,87,37,17,28,95,3,2,62
5341,23,35,60,20,23,70,39,87,27,56,4,30,34,89,0,94,38,3,57,27
5346,99,97,13,53,4,63,90,2,78,18,37,31,5,30,46,7,93,3,94,35
5429,54,23,28,54,30,15,40,94,82,66,8,32,34,15,20,47,55,3,39,30
5457,59,64,42,70,13,3,33,30,9,84,19,44,87,74,58,60,64,3,25,18
5545,4,64,51,7,24,26,75,15,92,8,91,85,11,68,7,99,50,3,19,92
10081,62,48,0,1,91,53,25,9,60,41,92,51,26,4,27,39,14,3,77,44
4802,65,93,63,88,42,67,54,95,35,21,38,53,64,86,66,0,19,4,36,8
4817,57,77,95,74,71,37,47,54,37,87,60,60,14,28,57,12,66,4,88,39
4949,72,11,64,94,23,20,50,66,31,43,70,25,42,68,86,11,48,4,62,30
5003,61,41,76,20,96,20,65,90,90,64,73,33,91,74,70,75,99,4,34,17
5057,91,22,97,20,15,28,36,45,64,62,5,43,24,22,88,53,98,4,49,37
5090,12,96,93,42,88,67,84,63,86,74,6,62,19,48,11,62,93,4,84,60
5128,62,99,44,26,17,80,87,81,32,75,28,58,77,24,23,14,56,4,38,5
5185,10,26,90,22,46,71,43,83,33,0,46,61,34,49,18,14,39,4,68,56
5461,17,62,60,29,80,84,70,55,1,46,47,34,61,11,71,34,10,4,8,69
5475,39,88,58,86,82,49,51,20,20,34,39,55,29,12,15,94,96,4,34,3
